"latitude","longitude","address","neighborhood"
"39.17730263","-86.57458416","1201 N Logan RD","unknown"
"39.17699283","-86.57405727","1180 N Logan RD","unknown"
"39.17697063","-86.57463241","1165 N Logan RD","unknown"
"39.17306961","-86.49103276","994 N Woodbridge DR","unknown"
"39.16333696","-86.46467423","4840 E Ridgewood DR","unknown"
"39.17672881","-86.57458476","1135 N Logan RD","unknown"
"39.17732691","-86.57574452","1200 N Sunrise Greetings CT","unknown"
"39.17618509","-86.57456046","1105 N Logan RD","unknown"
"39.17589126","-86.57454847","1075 N Logan RD","unknown"
"39.17531755","-86.57457377","1045 N Logan RD","unknown"
"39.17513953","-86.57404595","980 B N Logan RD","unknown"
"39.17521645","-86.57405598","980 A N Logan RD","unknown"
"39.17529881","-86.57405538","1000 B N Logan RD","unknown"
"39.1753647","-86.5740619","1000 N Logan RD","unknown"
"39.17568034","-86.57403146","1052 N Logan RD","unknown"
"39.17310527","-86.49102541","992 N Woodbridge DR","unknown"
"39.17589737","-86.57406165","1060 N Logan RD","unknown"
"39.17806869","-86.57711844","3963 W Vernal PIKE","unknown"
"39.19915316","-86.59743639","5070 W Woodyard RD","unknown"
"39.18723254","-86.61500312","6240 W Vernal PIKE","unknown"
"39.18883058","-86.61503485","6220 W Vernal PIKE","unknown"
"39.18445213","-86.60573983","5551 W Vernal PIKE","unknown"
"39.17002808","-86.60802422","430 N Hartstrait RD","unknown"
"39.16910155","-86.59706833","300 N Daniels WAY","unknown"
"39.14629174","-86.58032908","2121 S Yost AVE","unknown"
"39.14656357","-86.58033419","2115 S Yost AVE","unknown"
"39.17315996","-86.49098262","990 N Woodbridge DR","unknown"
"39.14796058","-86.580222","2017 S Yost AVE","unknown"
"39.14844946","-86.58026083","2013 S Yost AVE","unknown"
"39.14883435","-86.58037797","2009 S Yost AVE","unknown"
"39.14901647","-86.58122646","2006 S Yost AVE","unknown"
"39.14869747","-86.58110884","2010 S Yost AVE","unknown"
"39.14750199","-86.58147699","3910 W Roll AVE","unknown"
"39.14683631","-86.58182373","3927 W Roll AVE","unknown"
"39.14682575","-86.58192253","3929 W Roll AVE","unknown"
"39.14682674","-86.58215171","3933 W Roll AVE","unknown"
"39.14682739","-86.58230332","3937 W Roll AVE","unknown"
"39.17320391","-86.49098578","988 N Woodbridge DR","unknown"
"39.14716056","-86.58316483","2140 S Curry PIKE","unknown"
"39.14750391","-86.58320118","2120 S Curry PIKE","unknown"
"39.14792135","-86.58322643","2020 S Curry PIKE","unknown"
